"variable","value","geoid","geotype"
pop65plp,9.0,BX0101,NTA2020
pop65plp,8.7,BX0102,NTA2020
pop65plp,7.4,BX0201,NTA2020
pop65plp,8.6,BX0202,NTA2020
pop65plp,,BX0291,NTA2020
pop65plp,7.4,BX0301,NTA2020
pop65plp,7.4,BX0302,NTA2020
pop65plp,8.1,BX0303,NTA2020
pop65plp,,BX0391,NTA2020
pop65plp,10.4,BX0401,NTA2020
pop65plp,6.8,BX0402,NTA2020
pop65plp,6.7,BX0403,NTA2020
pop65plp,,BX0491,NTA2020
pop65plp,,BX0492,NTA2020
pop65plp,6.9,BX0501,NTA2020
pop65plp,6.9,BX0502,NTA2020
pop65plp,5.6,BX0503,NTA2020
pop65plp,9.1,BX0601,NTA2020
pop65plp,8.1,BX0602,NTA2020
pop65plp,6.8,BX0603,NTA2020
pop65plp,9.5,BX0701,NTA2020
pop65plp,7.4,BX0702,NTA2020
pop65plp,7.6,BX0703,NTA2020
pop65plp,11.5,BX0801,NTA2020
pop65plp,13.1,BX0802,NTA2020
pop65plp,24.8,BX0803,NTA2020
pop65plp,9.6,BX0901,NTA2020
pop65plp,11.4,BX0902,NTA2020
pop65plp,10.3,BX0903,NTA2020
pop65plp,9.8,BX0904,NTA2020
pop65plp,,BX0991,NTA2020
pop65plp,10.3,BX1001,NTA2020
pop65plp,14.5,BX1002,NTA2020
pop65plp,19.0,BX1003,NTA2020
pop65plp,22.6,BX1004,NTA2020
pop65plp,,BX1071,NTA2020
pop65plp,,BX1091,NTA2020
pop65plp,9.1,BX1101,NTA2020
pop65plp,16.5,BX1102,NTA2020
pop65plp,17.9,BX1103,NTA2020
pop65plp,12.0,BX1104,NTA2020
pop65plp,22.6,BX1161,NTA2020
pop65plp,10.4,BX1201,NTA2020
pop65plp,12.0,BX1202,NTA2020
pop65plp,12.5,BX1203,NTA2020
pop65plp,,BX1271,NTA2020
pop65plp,,BX2691,NTA2020
pop65plp,8.4,BX2791,NTA2020
pop65plp,20.1,BX2891,NTA2020
pop65plp,0.5,QN0151,NTA2020
pop65plp,9.8,BK0101,NTA2020
pop65plp,7.1,BK0102,NTA2020
pop65plp,5.5,BK0103,NTA2020
pop65plp,11.3,BK0104,NTA2020
pop65plp,13.3,BK0201,NTA2020
pop65plp,8.2,BK0202,NTA2020
pop65plp,11.4,BK0203,NTA2020
pop65plp,10.5,BK0204,NTA2020
pop65plp,,BK0261,NTA2020
pop65plp,8.2,BK0301,NTA2020
pop65plp,9.6,BK0302,NTA2020
pop65plp,6.2,BK0401,NTA2020
pop65plp,8.6,BK0402,NTA2020
pop65plp,,BK0471,NTA2020
pop65plp,7.7,BK0501,NTA2020
pop65plp,8.2,BK0502,NTA2020
