"geoid","label","popu181","mdgr","pbwpv","pbwpv_p","lgoenlep1","fb1_p","ea_bchdh","ea_bchdh_p","pop65pl1"
BK0101,Greenpoint (BK0101),5183.0,2589.0,3541.0,9.1,4178.0,26.5,20590.0,65.0,3680.0
BK0102,Williamsburg (BK0102),12443.0,3161.0,8452.0,12.8,8306.0,24.4,31943.0,65.4,4064.0
BK0103,South Williamsburg (BK0103),22018.0,1479.0,19782.0,43.3,12996.0,9.7,3571.0,18.9,4111.0
BK0104,East Williamsburg (BK0104),8329.0,1877.0,12038.0,23.3,9161.0,24.4,18786.0,48.3,6761.0
BK0201,Brooklyn Heights (BK0201),3974.0,3049.0,938.0,4.1,950.0,15.2,16416.0,87.3,4407.0
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill (BK0202),6643.0,3318.0,5996.0,15.2,2830.0,25.3,22821.0,74.5,3427.0
BK0203,Fort Greene (BK0203),5239.0,2260.0,5099.0,16.3,3091.0,21.1,14644.0,59.1,4450.0
BK0204,Clinton Hill (BK0204),3964.0,2729.0,2609.0,10.0,1697.0,20.6,14771.0,70.8,3442.0
BK0261,Brooklyn Navy Yard (BK0261),0.0,,0.0,,0.0,,0.0,,0.0
BK0301,Bedford-Stuyvesant (West) (BK0301),22324.0,2094.0,23390.0,26.7,10449.0,18.3,28645.0,49.1,6739.0
BK0302,Bedford-Stuyvesant (East) (BK0302),18354.0,1843.0,22345.0,24.3,6295.0,20.9,26995.0,40.7,11756.0
BK0401,Bushwick (West) (BK0401),7212.0,2249.0,9660.0,18.6,10595.0,29.8,18936.0,48.3,4151.0
BK0402,Bushwick (East) (BK0402),9446.0,2026.0,14000.0,23.5,10616.0,32.6,14493.0,33.5,7463.0
BK0471,The Evergreens Cemetery (BK0471),0.0,,0.0,,0.0,,0.0,,0.0
BK0501,Cypress Hills (BK0501),9504.0,1793.0,7090.0,17.3,11346.0,45.3,4454.0,15.8,5367.0
BK0502,East New York (North) (BK0502),11239.0,1479.0,11938.0,28.0,6514.0,33.3,4510.0,15.9,5412.0
BK0503,East New York-New Lots (BK0503),11774.0,1398.0,12200.0,24.0,4275.0,32.0,6153.0,17.6,8001.0
BK0504,Spring Creek-Starrett City (BK0504),2902.0,1015.0,3941.0,24.8,2791.0,33.1,2668.0,22.1,4887.0
BK0505,East New York-City Line (BK0505),14047.0,1353.0,11196.0,23.0,9305.0,38.6,4397.0,14.4,5732.0
BK0571,Highland Park-Cypress Hills Cemeteries (South) (BK0571),0.0,,0.0,,0.0,,0.0,,0.0
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK0601),14123.0,2383.0,7698.0,12.4,4770.0,18.7,30494.0,67.6,7449.0
BK0602,Park Slope (BK0602),12074.0,3019.0,2732.0,4.7,2019.0,16.9,37582.0,84.1,7312.0
BK0701,Windsor Terrace-South Slope (BK0701),5848.0,2539.0,2091.0,8.2,1693.0,19.8,13676.0,71.6,3546.0
BK0702,Sunset Park (West) (BK0702),12004.0,1890.0,8658.0,17.5,19132.0,35.6,13542.0,37.9,5847.0
BK0703,Sunset Park (Central) (BK0703),10728.0,1770.0,11269.0,26.3,27216.0,56.1,6196.0,20.9,5893.0
BK0771,Green-Wood Cemetery (BK0771),0.0,,0.0,,0.0,,0.0,,0.0
BK0801,Prospect Heights (BK0801),4311.0,2534.0,1511.0,6.4,1027.0,19.0,15024.0,79.7,3094.0
BK0802,Crown Heights (North) (BK0802),15358.0,1792.0,16858.0,19.8,5091.0,27.9,29180.0,45.0,10718.0
BK0891,Lincoln Terrace Park (BK0891),0.0,,0.0,,0.0,,0.0,,0.0
BK0901,Crown Heights (South) (BK0901),11462.0,1643.0,9903.0,19.1,4439.0,34.4,13262.0,37.2,8019.0
BK0902,Prospect Lefferts Gardens-Wingate (BK0902),7863.0,1668.0,7176.0,16.1,2572.0,33.9,14834.0,43.2,7969.0
BK1001,Bay Ridge (BK1001),16850.0,1838.0,9827.0,11.7,15504.0,34.0,31427.0,50.7,16513.0
BK1002,Dyker Heights (BK1002),8500.0,1740.0,7564.0,19.0,15230.0,46.8,9796.0,34.0,7413.0
BK1061,Fort Hamilton (BK1061),272.0,3500.0,0.0,,15.0,6.9,254.0,47.2,17.0
BK1091,Dyker Beach Park (BK1091),0.0,,0.0,,0.0,,0.0,,0.0
BK1101,Bensonhurst (BK1101),21154.0,1705.0,17269.0,18.0,43680.0,56.7,20520.0,30.5,15998.0
BK1102,Bath Beach (BK1102),6800.0,1775.0,4688.0,15.3,11505.0,51.1,8127.0,37.0,5915.0
BK1103,Gravesend (West) (BK1103),12842.0,1714.0,11165.0,20.2,25727.0,53.9,12295.0,31.5,9597.0
BK1201,Sunset Park (East)-Borough Park (West) (BK1201),8098.0,1583.0,7589.0,25.1,18184.0,54.9,4342.0,21.0,4614.0
BK1202,Borough Park (BK1202),41815.0,1742.0,28585.0,32.4,36144.0,17.5,8543.0,22.3,8327.0
BK1203,Kensington (BK1203),8696.0,1913.0,4444.0,11.9,8271.0,37.7,13701.0,51.2,5231.0
BK1204,Mapleton-Midwood (West) (BK1204),12607.0,1896.0,6673.0,18.1,10200.0,28.0,8166.0,37.6,5649.0
BK1301,Gravesend (South) (BK1301),6328.0,1508.0,5030.0,18.1,10867.0,51.8,7152.0,35.9,6207.0
BK1302,Coney Island-Sea Gate (BK1302),11394.0,979.0,14150.0,27.6,22224.0,49.4,13255.0,35.5,14829.0
BK1303,Brighton Beach (BK1303),5073.0,1588.0,7182.0,24.5,17152.0,71.1,11283.0,50.1,8072.0
BK1391,Calvert Vaux Park (BK1391),0.0,,0.0,,0.0,,0.0,,0.0
BK1401,Flatbush (BK1401),13081.0,1750.0,10106.0,14.9,9668.0,42.6,17952.0,35.8,8680.0
BK1402,Flatbush (West)-Ditmas Park-Parkville (BK1402),9239.0,1796.0,6395.0,15.8,8627.0,40.6,13659.0,47.5,6947.0
BK1403,Midwood (BK1403),13769.0,1690.0,8537.0,16.9,13108.0,39.5,17209.0,51.1,9487.0
BK1501,Gravesend (East)-Homecrest (BK1501),14044.0,1765.0,8655.0,17.0,17044.0,46.9,13459.0,40.6,7656.0
BK1502,Madison (BK1502),8692.0,1725.0,6558.0,16.5,13545.0,48.5,12016.0,41.9,8563.0
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach (BK1503),12753.0,1598.0,9011.0,13.9,24023.0,49.3,21437.0,43.6,15502.0
BK1601,Ocean Hill (BK1601),8104.0,1411.0,9723.0,24.7,2681.0,29.6,7336.0,27.3,4708.0
BK1602,Brownsville (BK1602),15067.0,991.0,21917.0,38.2,6039.0,28.1,5488.0,14.5,7224.0
BK1701,East Flatbush-Erasmus (BK1701),8385.0,1721.0,7091.0,15.6,4473.0,44.0,11466.0,34.6,6451.0
BK1702,East Flatbush-Farragut (BK1702),6256.0,1703.0,4390.0,12.8,2990.0,51.5,7421.0,28.7,7448.0
BK1703,East Flatbush-Rugby (BK1703),6933.0,1617.0,5671.0,15.3,2241.0,51.3,7004.0,24.4,7671.0
BK1704,East Flatbush-Remsen Village (BK1704),8679.0,1533.0,8015.0,20.9,2191.0,44.3,5767.0,21.4,6336.0
BK1771,Holy Cross Cemetery (BK1771),0.0,,0.0,,0.0,68.2,0.0,,7.0
BK1801,Flatlands (BK1801),13664.0,1664.0,7973.0,12.3,7436.0,41.3,15668.0,34.0,12598.0
BK1802,Marine Park-Mill Basin-Bergen Beach (BK1802),10082.0,2020.0,3155.0,7.1,6384.0,29.1,13920.0,44.1,9705.0
BK1803,Canarsie (BK1803),17494.0,1631.0,11280.0,13.7,7543.0,44.7,16794.0,28.6,15008.0
BK1891,Marine Park-Plumb Island (BK1891),0.0,,0.0,,0.0,,0.0,,0.0
BK1892,McGuire Fields (BK1892),0.0,,0.0,,0.0,,0.0,,0.0
BK1893,Canarsie Park & Pier (BK1893),0.0,,0.0,,0.0,,0.0,,0.0
BK5591,Prospect Park (BK5591),0.0,,0.0,,0.0,,0.0,,0.0
BK5691,Barren Island-Floyd Bennett Field (BK5691),0.0,1749.0,0.0,,4.0,30.8,13.0,100.0,0.0
BK5692,Jamaica Bay (West) (BK5692),0.0,,0.0,,0.0,,0.0,,0.0
BK5693,Shirley Chisholm State Park (BK5693),0.0,,0.0,,0.0,,0.0,,0.0
