"geoid","label","popu181","mdgr","pbwpv","pbwpv_p","lgoenlep1","fb1_p","ea_bchdh","ea_bchdh_p","pop65pl1"
"BK0101","Greenpoint (BK0101)",4731,2253,3480,9.3,4450,26.5,19369,63,3910
"BK0102","Williamsburg (BK0102)",11405,2732,9962,15.8,8876,24.5,29421,62.1,4806
"BK0103","South Williamsburg (BK0103)",24336,1263,23599,50.3,13548,10.2,2712,14.6,3914
"BK0104","East Williamsburg (BK0104)",8808,1605,13537,25.4,9278,22.9,17262,43.9,5945
"BK0201","Brooklyn Heights (BK0201)",4170,2702,911,4,848,13,16111,86.4,3941
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill (BK0202)",7455,2914,6059,16,3098,24.4,20587,72.2,3187
"BK0203","Fort Greene (BK0203)",6687,2026,6238,18.5,3225,20.4,14555,57.4,3974
"BK0204","Clinton Hill (BK0204)",3599,2356,2430,9.4,1078,18.6,14948,72.1,3410
"BK0261","Brooklyn Navy Yard (BK0261)",0,NULL,0,NULL,0,NULL,0,NULL,0
"BK0301","Bedford-Stuyvesant (West) (BK0301)",22489,1738,23143,26,9796,17.5,26959,46.1,6386
"BK0302","Bedford-Stuyvesant (East) (BK0302)",18331,1490,20405,22.2,6161,20.3,25929,39.4,11399
"BK0401","Bushwick (West) (BK0401)",8830,2016,11345,20.7,12507,31.7,17504,43.4,3915
"BK0402","Bushwick (East) (BK0402)",12022,1707,15284,24.3,12735,29.5,12206,28.3,6727
"BK0471","The Evergreens Cemetery (BK0471)",0,NULL,0,NULL,0,NULL,0,NULL,0
"BK0501","Cypress Hills (BK0501)",11292,1630,8215,19.3,9613,42.5,4324,15.5,4652
"BK0502","East New York (North) (BK0502)",12905,1452,11343,25.5,5258,30.9,3924,14,5248
"BK0503","East New York-New Lots (BK0503)",12405,1253,13106,25.3,4429,31.9,5650,16.3,7506
"BK0504","Spring Creek-Starrett City (BK0504)",3078,831,3990,25.2,2985,31.4,2298,20.2,4068
"BK0505","East New York-City Line (BK0505)",13591,1286,12495,26,6746,36.2,4074,13.6,6050
"BK0571","Highland Park-Cypress Hills Cemeteries (South) (BK0571)",0,NULL,0,NULL,0,NULL,0,NULL,0
"BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK0601)",14769,2133,9062,14.5,4588,17.4,29996,66.2,6610
"BK0602","Park Slope (BK0602)",12937,2645,3030,5.1,1983,16.4,37084,81.8,7060
"BK0701","Windsor Terrace-South Slope (BK0701)",6420,2303,2126,7.9,2026,20,13943,70.3,3640
"BK0702","Sunset Park (West) (BK0702)",12139,1727,8292,16.4,19058,37.4,12653,34.3,5173
"BK0703","Sunset Park (Central) (BK0703)",11802,1584,10594,23.2,27659,57.1,6173,19.5,5470
"BK0771","Green-Wood Cemetery (BK0771)",0,NULL,0,NULL,0,NULL,0,NULL,0
"BK0801","Prospect Heights (BK0801)",4160,2141,1755,7.3,942,20.7,14674,75.3,3234
"BK0802","Crown Heights (North) (BK0802)",15729,1495,17694,20.5,5058,28.5,27002,41.8,10103
"BK0891","Lincoln Terrace Park (BK0891)",0,NULL,0,NULL,0,NULL,0,NULL,0
"BK0901","Crown Heights (South) (BK0901)",11489,1527,8940,17.4,3887,35.2,12815,36.4,7642
"BK0902","Prospect Lefferts Gardens-Wingate (BK0902)",8241,1484,7583,16.1,2806,36.5,14573,40.2,8322
"BK1001","Bay Ridge (BK1001)",16788,1659,9732,11.4,15728,33.1,31367,49.5,15249
"BK1002","Dyker Heights (BK1002)",8980,1491,8021,18.5,16369,48.2,10364,33.2,7898
"BK1061","Fort Hamilton (BK1061)",477,3497,0,NULL,13,14,342,56.1,29
"BK1091","Dyker Beach Park (BK1091)",0,NULL,0,NULL,0,NULL,0,NULL,0
"BK1101","Bensonhurst (BK1101)",21906,1540,17145,16.8,45572,56.4,22195,30.7,15895
"BK1102","Bath Beach (BK1102)",7944,1607,5133,15.3,12135,49.2,8478,36.1,5951
"BK1103","Gravesend (West) (BK1103)",13695,1585,11477,19.1,27446,54.3,13444,31.5,9625
"BK1201","Sunset Park (East)-Borough Park (West) (BK1201)",8393,1437,8211,27.4,16841,54.3,4407,21.5,4194
"BK1202","Borough Park (BK1202)",38971,1528,28967,34.5,26898,19.2,8089,21.6,8592
"BK1203","Kensington (BK1203)",10102,1672,5666,14.5,8819,36.8,13062,48.6,5096
"BK1204","Mapleton-Midwood (West) (BK1204)",12734,1658,7523,19.7,9521,29,7977,35.3,5854
"BK1301","Gravesend (South) (BK1301)",6332,1273,5934,20.3,10855,49.7,7253,34.4,6111
"BK1302","Coney Island-Sea Gate (BK1302)",10409,921,13913,27.4,21919,46.7,13972,36.9,14606
"BK1303","Brighton Beach (BK1303)",5620,1384,7145,23,18099,69.9,11891,50.5,8478
"BK1391","Calvert Vaux Park (BK1391)",0,NULL,0,NULL,0,NULL,0,NULL,0
"BK1401","Flatbush (BK1401)",14136,1545,9457,13.7,9155,43.1,16193,32.7,8154
"BK1402","Flatbush (West)-Ditmas Park-Parkville (BK1402)",9403,1607,6474,15.5,8463,39,13286,45.1,6500
"BK1403","Midwood (BK1403)",15438,1522,8324,15.5,13868,39.5,16989,49,9566
"BK1501","Gravesend (East)-Homecrest (BK1501)",14103,1580,8482,15.9,17370,47.6,14059,40.2,8183
"BK1502","Madison (BK1502)",9582,1549,6617,15.5,13270,47.5,12230,40.6,8574
"BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach (BK1503)",13238,1414,9149,13.6,24470,49.4,21116,41.5,15201
"BK1601","Ocean Hill (BK1601)",9911,1263,10912,27.3,2458,27.7,6089,23.2,4462
"BK1602","Brownsville (BK1602)",10596,726,18139,37.2,4586,26.2,4151,11.9,6334
"BK1701","East Flatbush-Erasmus (BK1701)",8815,1472,6779,15.2,3913,46.1,10011,31.2,5726
"BK1702","East Flatbush-Farragut (BK1702)",6948,1509,3614,10.1,3063,52,7165,27.2,7374
"BK1703","East Flatbush-Rugby (BK1703)",7835,1446,4939,12.3,2496,52.1,7713,26.1,6912
"BK1704","East Flatbush-Remsen Village (BK1704)",7564,1364,6914,18.7,2027,47.9,6074,22.3,6079
"BK1771","Holy Cross Cemetery (BK1771)",10,NULL,0,NULL,0,NULL,14,100,0
"BK1801","Flatlands (BK1801)",16238,1574,7197,10.1,7277,43.2,15601,31.5,12723
"BK1802","Marine Park-Mill Basin-Bergen Beach (BK1802)",11119,1799,2711,5.8,5952,29.4,13745,41.9,9397
"BK1803","Canarsie (BK1803)",20991,1523,11620,13,7522,44,17837,28.9,13623
"BK1891","Marine Park-Plumb Island (BK1891)",0,NULL,0,NULL,0,NULL,0,NULL,0
