"geoid","label","popu181","mdgr","pbwpv","pbwpv_p","lgoenlep1","fb1_p","ea_bchdh","ea_bchdh_p"
"BX0903","Castle Hill-Unionport (BX0903)",7785,1426,8652,24.286997529755222,9239,34.4,4913,20.4
"BX0904","Parkchester (BX0904)",6886,1742,6190,21.146488111505874,6908,40,6034,29.4
"BX0991","Soundview Park (BX0991)",10,,78,74.28571428571429,15,40,0,
"BX1001","Westchester Square (BX1001)",3736,1630,3493,24.19980601357905,4093,44.1,1951,20.4
"BX1002","Throgs Neck-Schuylerville (BX1002)",10990,1921,6675,14.435241452390734,6577,21.4,8629,26.9
"BX1003","Pelham Bay-Country Club-City Island (BX1003)",5588,1940,3514,12.500444665789193,4381,25.2,7656,35.8
"BX1004","Co-op City (BX1004)",6462,1291,3890,11.015773227989692,3154,27,8046,30
"BX1071","Hart Island (BX1071)",0,,0,,0,,0,
"BX1091","Ferry Point Park-St. Raymond Cemetery (BX1091)",0,,0,,0,,0,
"BX1101","Pelham Parkway-Van Nest (BX1101)",7098,1759,5921,20.57617458993606,7083,31,4762,24.7
"BX1102","Morris Park (BX1102)",4763,1808,2618,11.452819458419002,4873,31.2,5805,34.8
"BX1103","Pelham Gardens (BX1103)",5792,1710,3679,14.053248787195843,4565,34,6445,32.5
"BX1104","Allerton (BX1104)",7963,1353,8667,26.70302246048618,8742,36.7,4459,20.2
"BX1161","Hutchinson Metro Center (BX1161)",0,,107,79.25925925925927,36,6.1,29,8
"BX1201","Williamsbridge-Olinville (BX1201)",14475,1510,14755,26.058315525493175,8131,37.2,8389,22.3
"BX1202","Eastchester-Edenwald-Baychester (BX1202)",12256,1509,10180,20.288584183673468,4249,36.2,9709,28.6
"BX1203","Wakefield-Woodlawn (BX1203)",9605,1685,8587,17.52413216056815,5010,41.1,11524,31.6
"BX1271","Woodlawn Cemetery (BX1271)",0,,0,,0,,0,
"BX2691","Van Cortlandt Park (BX2691)",0,,0,,0,,0,
"BX2791","Bronx Park (BX2791)",4,1999,2,6.25,5,15.6,5,18.5
"BX2891","Pelham Bay Park (BX2891)",0,1655,16,10.38961038961039,0,2.6,59,45.4
"MN0101","Financial District-Battery Park City (MN0101)",6582,3500,2819,6.073467628999246,2939,25.7,30260,83.4
"MN0102","Tribeca-Civic Center (MN0102)",3946,3500,1631,7.818417142035377,1552,21.3,13352,80.8
"MN0191","The Battery-Governors Island-Ellis Island-Liberty Island (MN0191)",0,,0,,0,,0,
"MN0201","SoHo-Little Italy-Hudson Square (MN0201)",1993,2913,2217,10.651484577688095,2248,30.2,13668,79.9
"MN0202","Greenwich Village (MN0202)",2506,3111,2303,8.537851264180322,1210,21.1,20765,89.6
"MN0203","West Village (MN0203)",2843,3183,1987,6.320979799586449,857,18.6,23038,84.6
"MN0301","Chinatown-Two Bridges (MN0301)",5255,1104,13212,35.038586999761314,15855,48.2,9360,29.9
"MN0302","Lower East Side (MN0302)",6397,1305,11449,24.583440693979213,10338,31.2,16267,46.1
"MN0303","East Village (MN0303)",5731,2035,14024,21.906338842200633,8904,23.5,31140,61.2
"MN0401","Chelsea-Hudson Yards (MN0401)",5653,3057,7353,11.915796979321968,4826,26.3,39867,75.4
"MN0402","Hell's Kitchen (MN0402)",3994,2414,6648,12.229130642728377,4676,31.1,34555,74
"MN0501","Midtown South-Flatiron-Union Square (MN0501)",2357,3500,3366,12.75579809004093,1596,27.2,18548,81
"MN0502","Midtown-Times Square (MN0502)",1518,3450,2571,11.328985634969596,1601,35.6,15668,76.5
"MN0601","Stuyvesant Town-Peter Cooper Village (MN0601)",2815,3250,1835,8.325771324863885,820,25.1,14929,85.2
"MN0602","Gramercy (MN0602)",2467,2891,2928,12.497865801604917,1207,17.9,15631,82.8
"MN0603","Murray Hill-Kips Bay (MN0603)",4388,3259,5317,10.21655169763465,3254,28.4,34893,81
"MN0604","East Midtown-Turtle Bay (MN0604)",4373,3060,3114,7.446554115452677,1551,24.6,30413,85.3
"MN0661","United Nations (MN0661)",0,,0,,0,,0,
"MN0701","Upper West Side-Lincoln Square (MN0701)",10459,3500,7198,10.632829118411722,4533,26.8,46423,84.1
"MN0702","Upper West Side (Central) (MN0702)",16423,2810,9045,9.040841213042,5407,20.6,65248,80.4
"MN0703","Upper West Side-Manhattan Valley (MN0703)",7072,2037,8156,16.652034545417425,5090,23.6,24969,64.4
"MN0801","Upper East Side-Lenox Hill-Roosevelt Island (MN0801)",11406,2937,6679,8.841673285676462,5791,27.5,49332,81.3
"MN0802","Upper East Side-Carnegie Hill (MN0802)",9212,3099,2811,5.037002526564768,2027,21.2,38089,85.5
"MN0803","Upper East Side-Yorkville (MN0803)",9203,2636,6251,8.012458982772765,4560,20.4,51916,78.7
"MN0901","Morningside Heights (MN0901)",3485,1908,6522,24.98467667790377,4343,31.4,15186,70.6
"MN0902","Manhattanville-West Harlem (MN0902)",4101,1336,6140,29.00604686318972,4236,30,5428,35.2
"MN0903","Hamilton Heights-Sugar Hill (MN0903)",8402,1755,12470,23.426639113281983,12296,38.1,17946,42.2
"MN1001","Harlem (South) (MN1001)",8510,1724,8910,18.435754189944134,3409,26.6,20491,56
"MN1002","Harlem (North) (MN1002)",17367,1296,26033,30.26670697112031,10887,23.5,21684,34.8
"MN1101","East Harlem (South) (MN1101)",12180,1295,18237,30.632915644841603,12408,28.1,17557,39.2
"MN1102","East Harlem (North) (MN1102)",12642,1312,19846,31.706420845781473,10955,23.2,14631,32
"MN1191","Randall's Island (MN1191)",45,,1511,69.75992613111727,346,14.4,106,4.8
"MN1201","Washington Heights (South) (MN1201)",11602,1605,18087,24.235886853635986,23418,46.5,20951,36.6
"MN1202","Washington Heights (North) (MN1202)",12109,1737,10411,14.393949867964439,19251,40.1,25330,45
"MN1203","Inwood (MN1203)",6350,1608,6002,16.304023035340776,11428,41.4,10628,37.8
"MN1291","Highbridge Park (MN1291)",0,,0,,0,,0,
"MN1292","Inwood Hill Park (MN1292)",0,,0,,0,,0,
"MN6491","Central Park (MN6491)",0,,0,,0,,0,
"QN0101","Astoria (North)-Ditmars-Steinway (QN0101)",8412,2238,5050,10.429143777621743,6927,30.3,19951,53.4
"QN0102","Old Astoria-Hallets Point (QN0102)",2067,2082,2699,19.350444508173215,2515,40.6,5374,49.5
"QN0103","Astoria (Central) (QN0103)",5600,2218,4578,9.59507042253521,8849,37.6,24275,61.9
"QN0104","Astoria (East)-Woodside (North) (QN0104)",6043,2012,4371,11.8967910508696,8174,39.8,12405,43.3
"QN0105","Queensbridge-Ravenswood-Dutch Kills (QN0105)",4791,1701,6146,21.295173417414503,6583,41.3,9810,45.4
"QN0151","Rikers Island (QN0151)",0,,0,,202,9.1,61,2.3
"QN0161","Sunnyside Yards (North) (QN0161)",0,3500,22,6.41399416909621,41,93.3,321,96.7
"QN0171","St. Michael's Cemetery (QN0171)",0,,0,,0,,0,
"QN0191","Astoria Park (QN0191)",0,,0,,0,,0,
"QN0201","Long Island City-Hunters Point (QN0201)",4549,3500,2411,7.914259453781512,3157,39.6,20994,84.4
"QN0202","Sunnyside (QN0202)",7701,1928,5974,12.80737485261014,13477,46.6,17135,47.6
"QN0203","Woodside (QN0203)",7904,1833,4129,8.880524787611572,18195,60.2,12051,32.7
"QN0261","Sunnyside Yards (South) (QN0261)",0,,0,,0,,0,
"QN0271","Calvary & Mount Zion Cemeteries (QN0271)",0,,0,,0,,0,
"QN0301","Jackson Heights (QN0301)",17981,1853,12318,13.165601419379664,35708,57.9,23568,33.5
"QN0302","East Elmhurst (QN0302)",5781,1963,4225,14.90299823633157,10272,50.2,3938,19
"QN0303","North Corona (QN0303)",10405,1908,6621,17.291269488913844,21001,61.6,2474,10.1
"QN0401","Elmhurst (QN0401)",21072,1927,14839,14.968326339573917,45269,65.7,20945,29.1
"QN0402","Corona (QN0402)",15862,2033,13547,20.546615503617307,30726,60,8457,18.3
"QN0501","Maspeth (QN0501)",8137,2002,5126,12.696289691385546,10915,41.2,8527,29.2
"QN0502","Ridgewood (QN0502)",11572,2022,8978,13.504407207966066,18335,42.6,18183,37.1
"QN0503","Glendale (QN0503)",7623,1961,3209,9.060108981055366,7811,35.5,7625,30.3
"QN0504","Middle Village (QN0504)",6255,2003,2778,8.267119007231496,6972,37.1,9029,35.3
"QN0571","Mount Olivet & All Faiths Cemeteries (QN0571)",0,,0,,0,,0,
"QN0572","Middle Village Cemetery (QN0572)",0,,0,,0,,0,
"QN0573","St. John Cemetery (QN0573)",0,,0,,0,,0,
"QN0574","Highland Park-Cypress Hills Cemeteries (North) (QN0574)",0,,0,,0,,0,
"QN0601","Rego Park (QN0601)",5773,2037,3384,11.427799540726733,8825,53.7,11056,49.7
"QN0602","Forest Hills (QN0602)",17910,2126,9048,9.714721324500466,19817,45.5,43036,59.8
"QN0701","College Point (QN0701)",6402,2238,3237,10.94542503550416,11710,53.7,5854,27.4
"QN0702","Whitestone-Beechhurst (QN0702)",5230,2269,2065,7.036254599972741,6330,34.6,8806,39.7
"QN0703","Bay Terrace-Clearview (QN0703)",3558,2581,2349,10.145115314848406,4813,34.9,9082,49.6
"QN0704","Murray Hill-Broadway Flushing (QN0704)",8784,1854,10319,19.452560936527984,25888,60.1,14911,35.5
"QN0705","East Flushing (QN0705)",4572,1728,5085,16.582963735977042,16573,67.9,6524,26.5
"QN0706","Queensboro Hill (QN0706)",4545,2111,3459,16.963366190966603,9917,60.9,3946,26.9
"QN0707","Flushing-Willets Point (QN0707)",7488,1726,13143,21.799273523411454,36546,73.4,14904,29.7
"QN0761","Fort Totten (QN0761)",0,,0,,0,,0,
"QN0791","Kissena Park (QN0791)",0,,0,,0,,0,
"QN0801","Kew Gardens Hills (QN0801)",8995,1979,3735,10.876528829353523,7638,35.9,11505,50
"QN0802","Pomonok-Electchester-Hillcrest (QN0802)",6265,1475,4360,13.599925138026764,8999,42,8674,37
"QN0803","Fresh Meadows-Utopia (QN0803)",4184,2156,1800,8.70532475697635,6132,45.6,7980,52.4
"QN0804","Jamaica Estates-Holliswood (QN0804)",4087,1842,2692,11.895713654441007,6249,51.4,7994,46.6
"QN0805","Jamaica Hills-Briarwood (QN0805)",6879,1892,5130,14.044790012593769,12500,56.5,12489,45
"QN0871","Mount Hebron & Cedar Grove Cemeteries (QN0871)",0,,0,,0,,0,
"QN0891","Cunningham Park (QN0891)",0,,0,,0,,0,
"QN0901","Kew Gardens (QN0901)",4935,1977,2301,9.45396277579194,5024,38.4,9678,53.4
"QN0902","Richmond Hill (QN0902)",7003,1816,3278,10.172857896533532,7719,49.7,6959,30.4
"QN0903","South Richmond Hill (QN0903)",4364,1996,2797,11.979612814802126,5641,65.6,3485,21
"QN0904","Ozone Park (North) (QN0904)",5613,1989,4823,19.04291862439294,8017,54.5,4437,24.9
"QN0905","Woodhaven (QN0905)",7755,1968,4248,10.663721257154332,13765,52.4,7844,27.3
"QN1001","South Ozone Park (QN1001)",14496,1972,9641,12.018349767511438,10894,56.1,12408,20.9
"QN1002","Ozone Park (QN1002)",5370,1884,2430,10.31365391961292,6048,41.2,4280,26.1
"QN1003","Howard Beach-Lindenwood (QN1003)",7572,2112,2165,6.915165452919382,3327,19.9,7057,31.4
"QN1091","Spring Creek Park (QN1091)",0,,0,,0,,0,
"QN1101","Auburndale (QN1101)",6468,2216,3365,10.020547333313482,10784,45,10191,39.6
"QN1102","Bayside (QN1102)",7081,2467,3937,11.159929701230228,9995,42.6,12061,46
"QN1103","Douglaston-Little Neck (QN1103)",4068,2594,1498,5.866228070175438,5742,38.7,11005,54
"QN1104","Oakland Gardens-Hollis Hills (QN1104)",5274,2197,1851,7.451690821256039,6138,42.5,10178,55.3
"QN1191","Alley Pond Park (QN1191)",1,,30,42.25352112676056,4,21.7,38,90.5
"QN1201","Jamaica (QN1201)",12915,1808,10259,18.320624319159958,22076,58.8,9233,23.8
"QN1202","South Jamaica (QN1202)",10573,1680,5874,13.83126515811533,9816,44.8,5177,18.6
"QN1203","Baisley Park (QN1203)",9908,1946,5385,12.35148401302812,4702,44.6,6221,21
"QN1204","Springfield Gardens (North)-Rochdale Village (QN1204)",7353,1365,4615,13.838910879213145,2183,35.7,6492,27.4
"QN1205","St. Albans (QN1205)",11297,1755,5140,9.485144860675401,4267,40,9876,25.4
"QN1206","Hollis (QN1206)",4363,1719,2641,12.210458181145684,3433,50.1,4358,28
"QN1301","Glen Oaks-Floral Park-New Hyde Park (QN1301)",3133,2050,1838,8.546452152887566,4653,43.5,9270,50.6
"QN1302","Bellerose (QN1302)",3959,1963,1903,7.203421909304263,5835,47.9,8398,40.7
"QN1303","Queens Village (QN1303)",9241,1761,5257,9.550194382879774,11101,52.2,12634,31
"QN1304","Cambria Heights (QN1304)",3599,1668,1498,7.575221238938052,1032,40.6,5363,35.7
"QN1305","Laurelton (QN1305)",5475,1853,1536,5.583424209378408,1455,40.6,6565,33.1
"QN1306","Springfield Gardens (South)-Brookville (QN1306)",4996,2207,2475,10.335323840146991,2091,43.6,4693,27
"QN1307","Rosedale (QN1307)",5911,2530,2929,10.388366731690017,2549,38.6,7055,35
"QN1371","Montefiore Cemetery (QN1371)",0,,0,,0,,0,
"QN1401","Far Rockaway-Bayswater (QN1401)",17903,1490,12952,21.283378522717936,9405,33.8,10414,26.3
"QN1402","Rockaway Beach-Arverne-Edgemere (QN1402)",11164,1158,10874,26.265066061206248,5228,29.7,7473,26.8
"QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel (QN1403)",5458,1777,2014,7.992697833161362,1124,11.4,9044,47.8
"QN1491","Rockaway Community Park (QN1491)",0,,0,,0,,0,
"QN8081","LaGuardia Airport (QN8081)",0,,0,,0,,0,
"QN8191","Flushing Meadows-Corona Park (QN8191)",0,,0,,0,,0,
"QN8291","Forest Park (QN8291)",0,,0,,0,,0,
"QN8381","John F. Kennedy International Airport (QN8381)",0,,0,,0,,0,
"QN8491","Jamaica Bay (East) (QN8491)",0,,0,,0,,0,
"QN8492","Jacob Riis Park-Fort Tilden-Breezy Point Tip (QN8492)",0,2749,0,,0,16.7,15,78.9
"SI0101","St. George-New Brighton (SI0101)",4961,1512,5854,28.35828125756915,2343,20.6,4234,30.8
"SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills (SI0102)",3876,1548,4756,27.228488005954084,3923,31.7,3478,28.1
"SI0103","Rosebank-Shore Acres-Park Hill (SI0103)",4028,1366,3736,16.247716795685832,6047,39.9,4238,24.9
"SI0104","West New Brighton-Silver Lake-Grymes Hill (SI0104)",8118,1716,3499,10.017463998396748,4334,21.8,9687,39.2
"SI0105","Westerleigh-Castleton Corners (SI0105)",6872,1873,2321,7.389366443807704,3234,19.1,8568,38.3
"SI0106","Port Richmond (SI0106)",5164,1812,4048,19.696379914363565,3002,31.3,3584,26.3
"SI0107","Mariner's Harbor-Arlington-Graniteville (SI0107)",7056,1625,5091,15.806141140674967,4762,30,6520,29.2
"SI0191","Snug Harbor (SI0191)",0,1374,0,,0,,4,10
"SI0201","Grasmere-Arrochar-South Beach-Dongan Hills (SI0201)",6393,1578,3833,11.043563443586493,8164,38.2,8032,30.8
"SI0202","New Dorp-Midland Beach (SI0202)",6877,2098,2631,9.06366267052501,6388,32.6,7183,34.8
"SI0203","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights (SI0203)",8725,1419,3733,11.406832487930087,3927,25.8,9830,43.9
"SI0204","New Springville-Willowbrook-Bulls Head-Travis (SI0204)",8137,1972,5413,12.798505698207785,7838,31.8,11186,35.8
"SI0291","Freshkills Park (North) (SI0291)",0,,0,,0,,0,
"SI0301","Oakwood-Richmondtown (SI0301)",4101,1862,1912,9.066767830045523,2416,19.7,5409,34.7
"SI0302","Great Kills-Eltingville (SI0302)",11678,1997,4200,7.215007215007215,6166,21.4,16036,38.9
"SI0303","Arden Heights-Rossville (SI0303)",6648,1781,1718,5.398780717742442,3341,20,8586,37.4
"SI0304","Annadale-Huguenot-Prince's Bay-Woodrow (SI0304)",10214,2057,2169,5.169701592144151,3059,17.8,12650,44.1
"SI0305","Tottenville-Charleston (SI0305)",3778,1587,1334,7.6701931922723094,1469,13.5,4717,38.9
"SI0391","Freshkills Park (South) (SI0391)",0,2249,0,,12,29.7,6,16.2
"SI9561","Fort Wadsworth (SI9561)",163,2129,27,6.323185011709602,9,6.7,116,43.9
"SI9591","Hoffman & Swinburne Islands (SI9591)",0,,0,,0,,0,
"SI9592","Miller Field (SI9592)",0,1577,11,14.666666666666666,32,21.3,0,
"SI9593","Great Kills Park (SI9593)",0,,0,,0,,0,
