"geoid","label","popu181","mdgr","pbwpv","pbwpv_p","lgoenlep1","fb1_p","ea_bchdh","ea_bchdh_p"
"BK0101","Greenpoint (BK0101)",5274,2657,3579,9.030809215008453,3836,24.7,21350,66
"BK0102","Williamsburg (BK0102)",13304,3283,8684,13.079101150671727,8650,24.5,33146,67.4
"BK0103","South Williamsburg (BK0103)",24940,1642,19588,38.68394027964294,14611,9.4,3731,17.8
"BK0104","East Williamsburg (BK0104)",7340,1935,12174,24.05405939420284,8879,24.3,20113,51
"BK0201","Brooklyn Heights (BK0201)",4117,3269,1161,4.78053199374125,1127,17,16810,86
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill (BK0202)",6495,3410,5785,14.727596741344195,2761,24.5,23494,76.7
"BK0203","Fort Greene (BK0203)",5200,2373,5304,16.66928564694051,3580,21.8,14828,58.8
"BK0204","Clinton Hill (BK0204)",4282,2727,2641,9.824417826054608,2080,20.2,15343,71.9
"BK0261","Brooklyn Navy Yard (BK0261)",0,,0,,0,,0,
"BK0301","Bedford-Stuyvesant (West) (BK0301)",23032,2238,23328,25.97107645035236,11410,18.5,30029,50
"BK0302","Bedford-Stuyvesant (East) (BK0302)",17946,1917,23572,25.544273344964726,6072,20.5,28452,42.4
"BK0401","Bushwick (West) (BK0401)",6779,2312,9610,18.338294786657507,10472,29.2,19992,50.3
"BK0402","Bushwick (East) (BK0402)",9202,2064,14003,23.415604829269924,10207,31.2,16446,37.4
"BK0471","The Evergreens Cemetery (BK0471)",0,,0,,0,,0,
"BK0501","Cypress Hills (BK0501)",9852,1935,7151,17.042015204594744,14028,47.1,4833,17.1
"BK0502","East New York (North) (BK0502)",10211,1399,9976,24.374511336982017,7084,33.9,5261,18.7
"BK0503","East New York-New Lots (BK0503)",12226,1485,11719,22.956375247311406,6144,33.9,5567,16.1
"BK0504","Spring Creek-Starrett City (BK0504)",3201,1020,4099,25.24325655868949,2597,33,3041,25.3
"BK0505","East New York-City Line (BK0505)",12975,1453,9699,20.729674275455245,10252,40.3,5153,17.3
"BK0571","Highland Park-Cypress Hills Cemeteries (South) (BK0571)",0,,0,,0,,0,
"BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK0601)",12908,2425,7193,11.953469048608225,3871,17.7,30160,67
"BK0602","Park Slope (BK0602)",11800,3060,2888,4.895911032752425,2085,16.6,38529,83.9
"BK0701","Windsor Terrace-South Slope (BK0701)",5330,2474,1801,7.2897271917752775,1752,20.2,13624,71.6
"BK0702","Sunset Park (West) (BK0702)",11773,1985,9094,18.53497472688733,19032,36.4,13688,38.6
"BK0703","Sunset Park (Central) (BK0703)",10962,1836,11523,26.094931835680963,28539,55.5,6593,21.8
"BK0771","Green-Wood Cemetery (BK0771)",0,,0,,0,,0,
"BK0801","Prospect Heights (BK0801)",4367,2639,1628,6.806020066889632,953,18.7,15500,81.5
"BK0802","Crown Heights (North) (BK0802)",16095,1831,17677,20.786199760118528,5120,27.8,30156,46.9
"BK0891","Lincoln Terrace Park (BK0891)",0,,0,,0,,0,
"BK0901","Crown Heights (South) (BK0901)",11786,1671,9011,17.027910580320867,4538,35.1,14062,38.8
"BK0902","Prospect Lefferts Gardens-Wingate (BK0902)",7986,1687,8391,19.01987895822472,2546,33.5,15621,46.7
"BK1001","Bay Ridge (BK1001)",16723,1856,10544,12.493187042346975,16497,33.9,31994,51
"BK1002","Dyker Heights (BK1002)",8091,1769,7677,19.74892598976153,15468,47.5,9836,34.8
"BK1061","Fort Hamilton (BK1061)",329,3500,0,,44,9.5,238,48
"BK1091","Dyker Beach Park (BK1091)",0,,0,,0,,0,
"BK1101","Bensonhurst (BK1101)",20488,1721,17996,19.08256102474922,43417,56.8,19812,29.8
"BK1102","Bath Beach (BK1102)",6610,1799,5294,17.6672784915735,11527,51,7965,36.8
"BK1103","Gravesend (West) (BK1103)",12363,1767,10573,18.901621467007526,27063,55.3,12609,31.7
"BK1201","Sunset Park (East)-Borough Park (West) (BK1201)",7440,1657,6728,22.676868111496848,18917,55.7,4297,20.9
"BK1202","Borough Park (BK1202)",41908,1804,30075,33.69596880812065,40280,17.4,8080,21.1
"BK1203","Kensington (BK1203)",9219,1931,5641,14.714628547579297,9326,38.3,13644,50.7
"BK1204","Mapleton-Midwood (West) (BK1204)",13234,1849,7620,20.37433155080214,10998,28.2,8395,38.9
"BK1301","Gravesend (South) (BK1301)",6213,1423,5853,20.687095748064895,10811,51.5,7540,36.7
"BK1302","Coney Island-Sea Gate (BK1302)",12411,1067,13462,25.258931251876316,21865,49.3,13982,36.5
"BK1303","Brighton Beach (BK1303)",4424,1644,6974,24.86008626528357,17062,70.6,9985,45.2
"BK1391","Calvert Vaux Park (BK1391)",0,,0,,0,,0,
"BK1401","Flatbush (BK1401)",12379,1779,10085,15.435830718604118,9667,42.4,18268,38
"BK1402","Flatbush (West)-Ditmas Park-Parkville (BK1402)",8538,1798,7102,17.922123804476744,9650,40.9,13735,47.7
"BK1403","Midwood (BK1403)",12138,1727,8126,16.632212374889985,12679,40.6,16676,49
"BK1501","Gravesend (East)-Homecrest (BK1501)",13197,1776,9665,19.43612122187142,16885,47.2,13002,39.7
"BK1502","Madison (BK1502)",8186,1715,6362,16.73902175914963,13630,49.4,12191,43.6
"BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach (BK1503)",12574,1616,9465,14.90926847709659,23939,49,20733,42.9
"BK1601","Ocean Hill (BK1601)",7867,1443,9551,23.975198935662824,3664,33,8133,28.6
"BK1602","Brownsville (BK1602)",14836,1059,22010,37.47786405121918,6741,30.8,5892,14.8
"BK1701","East Flatbush-Erasmus (BK1701)",7562,1772,7076,16.936333173767355,4624,44.9,10920,35.2
"BK1702","East Flatbush-Farragut (BK1702)",5848,1745,4402,12.997136024092828,3054,51.5,7602,29.7
"BK1703","East Flatbush-Rugby (BK1703)",6832,1653,6138,17.193758928821538,2032,50,7486,27.2
"BK1704","East Flatbush-Remsen Village (BK1704)",7460,1605,8335,22.241494329553035,1860,45.1,5119,19.1
"BK1771","Holy Cross Cemetery (BK1771)",0,,0,,0,,0,
"BK1801","Flatlands (BK1801)",12451,1738,7118,11.60095832586339,6564,41.5,15674,35.7
"BK1802","Marine Park-Mill Basin-Bergen Beach (BK1802)",9950,2072,2949,6.896954955797746,6224,29,12939,43.1
"BK1803","Canarsie (BK1803)",15820,1646,10322,13.608078890470917,6980,45,15233,27.9
"BK1891","Marine Park-Plumb Island (BK1891)",0,,0,,0,,0,
"BK1892","McGuire Fields (BK1892)",0,,0,,0,,0,
"BK1893","Canarsie Park & Pier (BK1893)",0,,0,,0,,0,
"BK5591","Prospect Park (BK5591)",0,,0,,0,,0,
"BK5691","Barren Island-Floyd Bennett Field (BK5691)",0,2249,0,,5,35.7,14,100
"BK5692","Jamaica Bay (West) (BK5692)",0,,0,,0,,0,
"BK5693","Shirley Chisholm State Park (BK5693)",0,,0,,0,,0,
"BX0101","Mott Haven-Port Morris (BX0101)",16034,1021,23756,42.08251403872385,15093,27.1,5169,14.8
"BX0102","Melrose (BX0102)",11451,1152,17401,42.54523227383863,10044,24.6,4130,16
"BX0201","Hunts Point (BX0201)",3497,1325,3950,28.590040532715694,3458,28.4,1086,11.9
"BX0202","Longwood (BX0202)",11227,1217,13311,33.56024506466984,11481,26.2,4106,16.5
"BX0291","North & South Brother Islands (BX0291)",0,,0,,0,,0,
"BX0301","Morrisania (BX0301)",9907,1217,14552,39.39361126150514,8837,27.3,3322,14.5
"BX0302","Claremont Village-Claremont (East) (BX0302)",7500,1035,11380,47.63698773494077,4653,21,1535,11
"BX0303","Crotona Park East (BX0303)",8024,1293,9099,30.884898679610334,7995,31.9,3226,16.9
"BX0391","Crotona Park (BX0391)",0,,0,,0,,0,
"BX0401","Concourse-Concourse Village (BX0401)",15981,1458,22119,33.402295379039565,16818,37.2,9893,21.6
"BX0402","Highbridge (BX0402)",7842,1394,8830,29.231635051478133,9092,32.4,3506,17.5
"BX0403","Mount Eden-Claremont (West) (BX0403)",12565,1422,14759,30.60636224130065,16781,45,4606,14.8
"BX0491","Yankee Stadium-Macombs Dam Park (BX0491)",0,,0,,0,,0,
"BX0492","Claremont Park (BX0492)",0,,0,,0,,0,
"BX0501","University Heights (South)-Morris Heights (BX0501)",14543,1368,20618,38.616272100689244,16175,40.6,4786,13.9
"BX0502","Mount Hope (BX0502)",12554,1455,14762,32.089909134385465,18037,46.6,3568,11.8
"BX0503","Fordham Heights (BX0503)",8432,1596,10638,34.5726356841079,10655,45.7,2433,12.6
"BX0601","West Farms (BX0601)",5477,1228,7913,43.347028211448915,5119,29.9,1440,12.7
"BX0602","Tremont (BX0602)",8789,1258,10213,31.831073710456597,8036,30.7,2684,12.9
"BX0603","Belmont (BX0603)",7596,1431,13372,41.72230889235569,10272,34.6,3292,16.3
"BX0701","University Heights (North)-Fordham (BX0701)",9544,1556,11095,26.89045079980611,15066,42.3,4648,16.2
"BX0702","Bedford Park (BX0702)",11844,1636,13974,28.518367346938778,16547,44.1,7083,21.2
"BX0703","Norwood (BX0703)",9730,1564,10863,27.915403196792926,13304,46.6,6182,23.4
"BX0801","Kingsbridge Heights-Van Cortlandt Village (BX0801)",7742,1583,7008,21.560423332512922,9314,40.2,5785,25.2
"BX0802","Kingsbridge-Marble Hill (BX0802)",5498,1579,6744,28.29452485840151,5829,37.1,5445,32.7
"BX0803","Riverdale-Spuyten Duyvil (BX0803)",9448,1937,2817,6.4786918424139275,3995,22.4,21456,62.7
"BX0901","Soundview-Bruckner-Bronx River (BX0901)",17917,1439,22245,33.03385803385803,18357,37.2,6411,15
"BX0902","Soundview-Clason Point (BX0902)",7731,1193,7764,22.13794873257107,7506,26.1,5719,23.5
