"geoid","label","popu181","mdgr","pbwpv","pbwpv_p","lgoenlep1","fb1_p","ea_bchdh","ea_bchdh_p","pop65pl1"
"BK0101","Greenpoint (BK0101)","4985","2468","3213","8.4","4294","26.7","20167","64.8","3820"
"BK0102","Williamsburg (BK0102)","11642","2852","10015","15.6","8320","23.7","30064","63.1","4386"
"BK0103","South Williamsburg (BK0103)","23102","1430","22380","48.5","12633","9.7","3216","17.4","3536"
"BK0104","East Williamsburg (BK0104)","8335","1787","12781","24.3","9182","24.4","17296","44.2","6320"
"BK0201","Brooklyn Heights (BK0201)","4280","2919","1032","4.4","1138","15.4","16157","85.4","4392"
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill (BK0202)","7283","3217","6077","15.5","3160","25.1","21805","73.3","3510"
"BK0203","Fort Greene (BK0203)","6298","2239","5670","17.3","3356","21.3","14749","58.9","4112"
"BK0204","Clinton Hill (BK0204)","3728","2522","2627","10.3","1377","19.2","14475","71.5","3499"
"BK0261","Brooklyn Navy Yard (BK0261)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK0301","Bedford-Stuyvesant (West) (BK0301)","23267","1993","24908","27.8","10551","18","28223","48.2","6577"
"BK0302","Bedford-Stuyvesant (East) (BK0302)","18108","1725","21187","23","6345","20.7","27015","40.8","11444"
"BK0401","Bushwick (West) (BK0401)","8734","2172","11122","20.4","12093","30.7","17800","44.4","4030"
"BK0402","Bushwick (East) (BK0402)","10171","1871","14349","23.9","11159","30.5","13512","31.7","7196"
"BK0471","The Evergreens Cemetery (BK0471)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK0501","Cypress Hills (BK0501)","10584","1729","7425","17.6","10097","44.1","4732","16.9","4959"
"BK0502","East New York (North) (BK0502)","11712","1527","10938","25","5685","31.8","4501","15.7","5160"
"BK0503","East New York-New Lots (BK0503)","11950","1373","11861","22.6","4573","32.3","5738","16","8141"
"BK0504","Spring Creek-Starrett City (BK0504)","3175","1017","3772","22.6","2915","32.4","2974","24.4","4601"
"BK0505","East New York-City Line (BK0505)","13733","1321","13168","27.2","7347","36.7","4296","14.1","5657"
"BK0571","Highland Park-Cypress Hills Cemeteries (South) (BK0571)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK0601)","13525","2286","8216","13.5","4618","18.1","30242","67.6","6878"
"BK0602","Park Slope (BK0602)","12533","2897","2913","4.9","1965","16.8","36950","82.4","7167"
"BK0701","Windsor Terrace-South Slope (BK0701)","6364","2490","1747","6.7","1772","20.9","14110","73","3508"
"BK0702","Sunset Park (West) (BK0702)","12307","1823","8849","17.3","19689","36.7","13006","35.7","5170"
"BK0703","Sunset Park (Central) (BK0703)","11496","1690","10246","23","27284","56.9","6350","20.5","5470"
"BK0771","Green-Wood Cemetery (BK0771)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK0801","Prospect Heights (BK0801)","4358","2375","1524","6.4","985","18.9","14929","78.7","3067"
"BK0802","Crown Heights (North) (BK0802)","15425","1677","17260","20.2","5097","27.9","27314","42.4","10326"
"BK0891","Lincoln Terrace Park (BK0891)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK0901","Crown Heights (South) (BK0901)","11809","1647","10586","20.3","4604","34","12781","36","7589"
"BK0902","Prospect Lefferts Gardens-Wingate (BK0902)","8216","1630","7415","15.9","2447","35.2","14758","41.8","7843"
"BK1001","Bay Ridge (BK1001)","16651","1779","9640","11.5","15669","33.8","31257","50.5","15675"
"BK1002","Dyker Heights (BK1002)","8910","1667","7986","19.1","15276","47.4","10257","34.4","7696"
"BK1061","Fort Hamilton (BK1061)","355","3500","0",NULL,"17","14.3","254","52.8","20"
"BK1091","Dyker Beach Park (BK1091)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK1101","Bensonhurst (BK1101)","20394","1636","16746","17.4","44257","57.1","21374","31.3","16164"
"BK1102","Bath Beach (BK1102)","7288","1734","4731","14.6","12014","50.3","8291","36.3","5985"
"BK1103","Gravesend (West) (BK1103)","14285","1663","13124","22.4","27378","53.7","12470","30.6","9404"
"BK1201","Sunset Park (East)-Borough Park (West) (BK1201)","8114","1525","7722","25.8","17274","54.6","4268","21","4225"
"BK1202","Borough Park (BK1202)","39776","1676","27914","32.8","31143","18.4","7616","20.5","8321"
