"geoid","label","popu181","mdgr","pbwpv","pbwpv_p","lgoenlep1","fb1_p","ea_bchdh","ea_bchdh_p","pop65pl1"
"BK1203","Kensington (BK1203)","9169","1838","4848","12.9","8324","36.9","13371","50.9","5136"
"BK1204","Mapleton-Midwood (West) (BK1204)","12980","1838","6869","18.3","9555","27.7","7902","36.1","5479"
"BK1301","Gravesend (South) (BK1301)","6427","1458","5876","20.7","10992","50.5","7102","35","5697"
"BK1302","Coney Island-Sea Gate (BK1302)","10159","1023","13996","27.8","21160","46.7","13367","35.6","14634"
"BK1303","Brighton Beach (BK1303)","5180","1531","7008","23.3","17288","70.1","11738","51.6","8392"
"BK1391","Calvert Vaux Park (BK1391)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK1401","Flatbush (BK1401)","14008","1679","9614","13.7","8794","42.9","17379","34.1","8772"
"BK1402","Flatbush (West)-Ditmas Park-Parkville (BK1402)","8998","1700","6481","15.6","8873","39.3","13483","45.5","7038"
"BK1403","Midwood (BK1403)","14258","1651","8818","17","13674","40.3","16751","49.2","9261"
"BK1501","Gravesend (East)-Homecrest (BK1501)","12469","1667","8341","16.7","17311","48.4","13730","40.9","8090"
"BK1502","Madison (BK1502)","8944","1641","6848","16.9","13063","48.7","12325","42.4","8654"
"BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach (BK1503)","12785","1536","8548","13","24492","49.8","21603","43.3","15522"
"BK1601","Ocean Hill (BK1601)","8953","1361","10648","26.6","2554","27.7","6532","24.2","4792"
"BK1602","Brownsville (BK1602)","12671","874","20393","37.6","5577","27.7","5065","13.4","7054"
"BK1701","East Flatbush-Erasmus (BK1701)","8082","1615","7046","15.7","4415","46.4","10842","33.1","6205"
"BK1702","East Flatbush-Farragut (BK1702)","6422","1657","4340","12.4","3411","51.6","7374","28.3","7245"
"BK1703","East Flatbush-Rugby (BK1703)","7228","1546","5215","13.4","2248","52.3","7494","25.4","7595"
"BK1704","East Flatbush-Remsen Village (BK1704)","8133","1464","7129","18.9","2047","45.3","5955","22.1","6498"
"BK1771","Holy Cross Cemetery (BK1771)","10",NULL,"0",NULL,"0",NULL,"12","100","0"
"BK1801","Flatlands (BK1801)","14639","1664","8107","12","6986","41.9","15732","33.3","12740"
"BK1802","Marine Park-Mill Basin-Bergen Beach (BK1802)","10478","1966","3151","7","6078","29.2","13643","43.3","9516"
"BK1803","Canarsie (BK1803)","19478","1606","11104","12.8","7437","44.6","17363","28.7","14416"
"BK1891","Marine Park-Plumb Island (BK1891)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK1892","McGuire Fields (BK1892)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK1893","Canarsie Park & Pier (BK1893)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK5591","Prospect Park (BK5591)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK5691","Barren Island-Floyd Bennett Field (BK5691)","0","1749","0",NULL,"5","35.7","14","100","0"
"BK5692","Jamaica Bay (West) (BK5692)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BK5693","Shirley Chisholm State Park (BK5693)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX0101","Mott Haven-Port Morris (BX0101)","16053","987","23029","40.1","14241","26.3","4350","12.2","5937"
"BX0102","Melrose (BX0102)","12337","1132","16236","38.1","10676","25.9","3596","13.9","4489"
"BX0201","Hunts Point (BX0201)","3816","1259","4185","30.2","3654","26.1","1190","13","1906"
"BX0202","Longwood (BX0202)","10992","1232","13611","33.2","12256","27.2","3897","15.1","4369"
"BX0291","North & South Brother Islands (BX0291)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX0301","Morrisania (BX0301)","9613","1163","12187","34.7","7826","25.8","3344","15","3320"
"BX0302","Claremont Village-Claremont (East) (BX0302)","6477","991","10336","44.1","5188","22.1","1629","11.4","2946"
"BX0303","Crotona Park East (BX0303)","7635","1240","8371","28.6","7450","33.5","2831","14.7","3232"
"BX0391","Crotona Park (BX0391)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX0401","Concourse-Concourse Village (BX0401)","16466","1384","23028","34","19799","37.3","7201","15.8","9042"
"BX0402","Highbridge (BX0402)","9081","1213","10110","31.9","9398","32.8","3245","16.3","3142"
"BX0403","Mount Eden-Claremont (West) (BX0403)","14986","1382","17001","32.3","17862","42.7","5335","16.2","5397"
"BX0491","Yankee Stadium-Macombs Dam Park (BX0491)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX0492","Claremont Park (BX0492)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX0501","University Heights (South)-Morris Heights (BX0501)","15715","1321","20502","37.3","16159","40.4","5139","14.9","5079"
"BX0502","Mount Hope (BX0502)","12920","1439","15025","31.4","15676","44.6","4539","15","4782"
"BX0503","Fordham Heights (BX0503)","10040","1509","10920","32.7","11959","44.9","2223","11.4","2154"
"BX0601","West Farms (BX0601)","5316","1220","8525","46.5","5226","31.6","1215","10.8","2079"
"BX0602","Tremont (BX0602)","9424","1226","11598","36.2","8010","29.6","2975","15","3381"
"BX0603","Belmont (BX0603)","9648","1407","12536","37.7","11184","35","2563","13.1","3151"
"BX0701","University Heights (North)-Fordham (BX0701)","10830","1476","11279","25.7","17381","44.9","4146","13.9","5583"
"BX0702","Bedford Park (BX0702)","13660","1565","13976","25.6","19141","44.8","6248","17.5","6385"
"BX0703","Norwood (BX0703)","9654","1554","10451","26.8","12475","44.6","6073","22.8","3556"
"BX0801","Kingsbridge Heights-Van Cortlandt Village (BX0801)","7836","1497","7072","21.2","10262","39.8","5946","25.1","5349"
"BX0802","Kingsbridge-Marble Hill (BX0802)","6815","1505","7245","27.7","6559","34.9","5279","30.5","3449"
"BX0803","Riverdale-Spuyten Duyvil (BX0803)","8561","1917","3107","7.4","3700","21.4","20951","62.3","13438"
"BX0901","Soundview-Bruckner-Bronx River (BX0901)","16730","1364","21077","31.6","17273","36.2","6631","15.3","8748"
"BX0902","Soundview-Clason Point (BX0902)","8889","1117","7919","21.8","7930","24.3","5453","22.4","5773"
"BX0903","Castle Hill-Unionport (BX0903)","9131","1391","8531","22.5","10045","33.6","4405","17.6","5987"
"BX0904","Parkchester (BX0904)","7342","1644","7092","23.6","5742","34.2","6109","30.1","4142"
"BX0991","Soundview Park (BX0991)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX1001","Westchester Square (BX1001)","3893","1564","3562","23","4204","40.8","2173","21.2","2254"
"BX1002","Throgs Neck-Schuylerville (BX1002)","11177","1678","7044","14.9","5960","17.8","8524","26.1","7104"
"BX1003","Pelham Bay-Country Club-City Island (BX1003)","5391","1748","3480","12.7","3707","23.9","7391","35.5","5282"
"BX1004","Co-op City (BX1004)","6372","1214","3880","10.9","2625","23.2","7091","26","9764"
"BX1071","Hart Island (BX1071)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX1091","Ferry Point Park-St. Raymond Cemetery (BX1091)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX1101","Pelham Parkway-Van Nest (BX1101)","7066","1711","4653","15.6","7468","29.6","5517","27.6","3131"
"BX1102","Morris Park (BX1102)","4157","1707","2481","11.6","4206","28.8","5296","33.5","3876"
"BX1103","Pelham Gardens (BX1103)","6004","1719","3606","13.1","4711","34.3","6821","32.7","5694"
"BX1104","Allerton (BX1104)","8389","1360","8625","24.7","8848","36.8","4988","20.6","5318"
"BX1161","Hutchinson Metro Center (BX1161)","0",NULL,"119","64.7","66","13.9","26","5.1","193"
"BX1201","Williamsbridge-Olinville (BX1201)","14487","1494","13211","22.5","8118","36.4","7942","20.5","7811"
"BX1202","Eastchester-Edenwald-Baychester (BX1202)","12426","1411","9270","17.7","3767","36.3","9457","26.6","7821"
"BX1203","Wakefield-Woodlawn (BX1203)","10042","1566","8486","17.7","5010","41.8","10293","29.8","8007"
"BX1271","Woodlawn Cemetery (BX1271)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"BX2691","Van Cortlandt Park (BX2691)","0","1499","3","18.8","5",NULL,"9","100","0"
"BX2791","Bronx Park (BX2791)","6","2249","3","7.9","1","2.6","1","3.3","0"
"BX2891","Pelham Bay Park (BX2891)","18","1588","15","26.3","6","7","15","48.4","7"
"MN0101","Financial District-Battery Park City (MN0101)","6716","3500","2895","6.1","3179","23.6","30302","82.6","4384"
"MN0102","Tribeca-Civic Center (MN0102)","4237","3500","1123","5.2","1724","23.2","13746","79.8","3040"
"MN0191","The Battery-Governors Island-Ellis Island-Liberty Island (MN0191)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"MN0201","SoHo-Little Italy-Hudson Square (MN0201)","2048","2531","2222","10.3","2707","30.7","13655","78.2","4049"
"MN0202","Greenwich Village (MN0202)","2462","2858","1968","7.1","1219","19.5","20670","88.2","5693"
"MN0203","West Village (MN0203)","2400","2882","2068","6.6","722","18.3","23102","84","5257"
"MN0301","Chinatown-Two Bridges (MN0301)","5929","1098","13254","33.3","17635","49","9863","30.3","10845"
"MN0302","Lower East Side (MN0302)","5747","1139","10447","23.1","10133","28.8","15862","44.4","9560"
"MN0303","East Village (MN0303)","5857","1738","15845","24.7","9164","24.1","30847","59.5","10210"
"MN0401","Chelsea-Hudson Yards (MN0401)","5851","2645","7286","11.9","4404","25.2","38674","74.7","9164"
"MN0402","Hell's Kitchen (MN0402)","3588","2154","7015","12.9","5258","31.4","33515","71.4","9387"
"MN0501","Midtown South-Flatiron-Union Square (MN0501)","2718","3072","3134","11.8","1922","26.6","18357","81.4","3313"
"MN0502","Midtown-Times Square (MN0502)","1915","3160","2430","11.3","1394","34.1","13798","74.7","4530"
"MN0601","Stuyvesant Town-Peter Cooper Village (MN0601)","2976","2690","1857","8.6","995","23.5","14888","86.8","3575"
"MN0602","Gramercy (MN0602)","2753","3015","2556","10.8","1030","14.8","15493","83.1","3732"
"MN0603","Murray Hill-Kips Bay (MN0603)","4808","2948","4270","7.9","3064","28.2","36398","82.2","8466"
"MN0604","East Midtown-Turtle Bay (MN0604)","3856","2839","2443","6.1","2054","24.8","29269","83.8","11844"
"MN0661","United Nations (MN0661)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"MN0701","Upper West Side-Lincoln Square (MN0701)","9970","2856","5694","8.9","4358","26.1","43568","83.3","12891"
"MN0702","Upper West Side (Central) (MN0702)","17535","2540","8346","8.3","5223","21.3","64796","80.1","22370"
"MN0703","Upper West Side-Manhattan Valley (MN0703)","7583","1827","8662","16.6","6566","25.5","24764","60.9","11110"
"MN0801","Upper East Side-Lenox Hill-Roosevelt Island (MN0801)","13127","2711","6295","8","6406","28.3","49992","79.9","14796"
"MN0802","Upper East Side-Carnegie Hill (MN0802)","8927","2776","2756","5.2","1895","18.8","35464","84.3","15592"
"MN0803","Upper East Side-Yorkville (MN0803)","9489","2398","6037","7.8","4376","21.7","49303","76.7","17231"
"MN0901","Morningside Heights (MN0901)","3907","1792","6262","22.9","3745","29.1","15568","70.8","5157"
"MN0902","Manhattanville-West Harlem (MN0902)","4589","1352","6150","26.5","4768","30.7","5243","31.9","3107"
"MN0903","Hamilton Heights-Sugar Hill (MN0903)","8452","1800","12076","22.7","11462","37.5","17006","40.9","6535"
"MN1001","Harlem (South) (MN1001)","9348","1589","10051","20.3","3537","25.9","18948","51.7","5401"
"MN1002","Harlem (North) (MN1002)","17304","1299","21854","25.5","9925","22.3","22503","36.3","10412"
"MN1101","East Harlem (South) (MN1101)","9960","1208","16609","29.5","11756","26.7","16189","37.9","10144"
"MN1102","East Harlem (North) (MN1102)","14188","1138","21177","33.2","9877","20.8","13674","29.9","8893"
"MN1191","Randall's Island (MN1191)","49",NULL,"1534","75.3","273","9.9","154","7.3","200"
"MN1201","Washington Heights (South) (MN1201)","12175","1521","17569","22","25681","46.4","20622","33.9","13048"
"MN1202","Washington Heights (North) (MN1202)","13650","1684","11046","14","24823","44.4","25307","41.8","13134"
"MN1203","Inwood (MN1203)","8015","1574","6284","15.4","12364","39.4","12040","40","5722"
"MN1291","Highbridge Park (MN1291)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"MN1292","Inwood Hill Park (MN1292)","1",NULL,"0",NULL,"2",NULL,"0",NULL,"2"
"MN6491","Central Park (MN6491)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0101","Astoria (North)-Ditmars-Steinway (QN0101)","7879","2168","4915","10.1","7745","32","19810","52.6","6587"
"QN0102","Old Astoria-Hallets Point (QN0102)","2127","1981","2689","20.8","2427","39.2","4425","45","1754"
"QN0103","Astoria (Central) (QN0103)","5199","2127","4861","10.5","8324","37.1","22895","60.6","5755"
"QN0104","Astoria (East)-Woodside (North) (QN0104)","5718","1884","3708","10","7949","40.4","13304","45.8","4462"
"QN0105","Queensbridge-Ravenswood-Dutch Kills (QN0105)","4340","1443","4970","19.4","5898","40.1","7472","39.1","3737"
"QN0151","Rikers Island (QN0151)","58",NULL,"0",NULL,"532","13.7","75","1.9","31"
"QN0161","Sunnyside Yards (North) (QN0161)","1","1749","39","90.7","4","8.7","4","12.9","0"
"QN0171","St. Michael's Cemetery (QN0171)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0191","Astoria Park (QN0191)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0201","Long Island City-Hunters Point (QN0201)","4484","3462","1545","6","2594","36.9","16145","80.2","1311"
"QN0202","Sunnyside (QN0202)","8472","1870","5861","12","14581","48","16652","44.2","6513"
"QN0203","Woodside (QN0203)","9694","1757","3976","8.1","20217","59.7","11427","30.5","7964"
"QN0261","Sunnyside Yards (South) (QN0261)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0271","Calvary & Mount Zion Cemeteries (QN0271)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0301","Jackson Heights (QN0301)","17402","1793","12896","13.9","37240","58.3","22471","32.1","15216"
"QN0302","East Elmhurst (QN0302)","5307","1901","3484","13.8","10175","54.3","3389","18.2","3860"
"QN0303","North Corona (QN0303)","11049","1932","6905","16.5","22966","61.8","2593","9.5","3232"
"QN0401","Elmhurst (QN0401)","22451","1832","11494","11.1","45326","66.2","22390","30.3","13471"
"QN0402","Corona (QN0402)","16921","1855","12391","17.9","31444","59.2","7810","16.2","8704"
"QN0501","Maspeth (QN0501)","9499","1919","4907","11.4","11017","39.7","8314","27.6","5728"
"QN0502","Ridgewood (QN0502)","13029","1852","8677","12.6","18072","42.2","17601","35.8","7128"
"QN0503","Glendale (QN0503)","7815","1869","3154","8.6","7293","32.5","7183","28","5562"
"QN0504","Middle Village (QN0504)","6938","1860","2512","7.2","6874","38.1","9497","35.7","7739"
"QN0571","Mount Olivet & All Faiths Cemeteries (QN0571)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0572","Middle Village Cemetery (QN0572)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0573","St. John Cemetery (QN0573)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0574","Highland Park-Cypress Hills Cemeteries (North) (QN0574)","0",NULL,"0",NULL,"7","38.9","0",NULL,"7"
"QN0601","Rego Park (QN0601)","5570","1992","3392","11.1","9362","55.8","12407","53.3","5881"
"QN0602","Forest Hills (QN0602)","16908","2038","7091","7.8","19010","45.1","43047","60.6","18547"
"QN0701","College Point (QN0701)","6960","1992","2940","9.5","11415","48.9","5298","23.7","6395"
"QN0702","Whitestone-Beechhurst (QN0702)","5704","2175","2205","7.4","5816","33.7","8211","36.8","7424"
"QN0703","Bay Terrace-Clearview (QN0703)","3924","2141","1506","6.4","4515","33.2","9136","50.2","6576"
"QN0704","Murray Hill-Broadway Flushing (QN0704)","9679","1749","8623","15.9","27124","60.3","13192","31.3","11139"
"QN0705","East Flushing (QN0705)","4312","1603","4996","16.5","16137","65.7","6482","26.7","7956"
"QN0706","Queensboro Hill (QN0706)","4332","1885","2699","13.3","10930","60.6","4346","29.4","3706"
"QN0707","Flushing-Willets Point (QN0707)","7665","1645","11938","20.4","37355","72.8","12086","24.9","13294"
"QN0761","Fort Totten (QN0761)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0791","Kissena Park (QN0791)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0801","Kew Gardens Hills (QN0801)","8931","1843","4216","12.1","7917","39.3","11279","48.2","5862"
"QN0802","Pomonok-Electchester-Hillcrest (QN0802)","7669","1369","5218","15","8687","39.8","8920","36.6","5988"
"QN0803","Fresh Meadows-Utopia (QN0803)","4871","2112","2016","8.9","6580","48.9","7881","49","4093"
"QN0804","Jamaica Estates-Holliswood (QN0804)","4815","1743","2441","10.1","5625","53.1","8473","47.9","4627"
"QN0805","Jamaica Hills-Briarwood (QN0805)","8188","1844","5140","13.4","12346","53.9","12529","44.2","6111"
"QN0871","Mount Hebron & Cedar Grove Cemeteries (QN0871)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0891","Cunningham Park (QN0891)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN0901","Kew Gardens (QN0901)","4592","1846","2062","8.6","4505","38.8","9072","50.3","4302"
"QN0902","Richmond Hill (QN0902)","7576","1790","4113","11.7","8551","50","6811","27.9","5492"
"QN0903","South Richmond Hill (QN0903)","4163","1912","2767","12","5192","64.9","3320","20.2","2843"
"QN0904","Ozone Park (North) (QN0904)","6167","1839","3614","13.3","7262","51.1","4871","26.4","3459"
"QN0905","Woodhaven (QN0905)","8454","1900","4029","9.9","12885","49.4","7553","26.6","5424"
"QN1001","South Ozone Park (QN1001)","15285","1871","8754","10.5","10737","56.5","12640","20.8","12869"
"QN1002","Ozone Park (QN1002)","5634","1888","2288","9.4","5405","41.1","4490","27","3345"
"QN1003","Howard Beach-Lindenwood (QN1003)","6596","1977","1871","6.2","2695","19.7","6998","31.2","7550"
"QN1091","Spring Creek Park (QN1091)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN1101","Auburndale (QN1101)","6809","2109","3021","8.7","11530","45.7","10141","38.3","7446"
"QN1102","Bayside (QN1102)","6535","2512","3055","8.7","9886","40.7","12250","46.6","6972"
"QN1103","Douglaston-Little Neck (QN1103)","4347","2384","1796","7","5514","38.5","10822","53.7","6560"
"QN1104","Oakland Gardens-Hollis Hills (QN1104)","5993","2136","1552","5.8","6517","39.4","10253","52.9","5429"
"QN1191","Alley Pond Park (QN1191)","0",NULL,"30","44.1","3","33","37","92.5","32"
"QN1201","Jamaica (QN1201)","13063","1708","9679","16.8","21179","58.3","9602","24.2","8486"
"QN1202","South Jamaica (QN1202)","10613","1441","5851","13.4","7466","41","5123","17.8","5577"
"QN1203","Baisley Park (QN1203)","9815","1780","4979","11.3","3623","40.2","6236","20.5","5961"
"QN1204","Springfield Gardens (North)-Rochdale Village (QN1204)","7785","1287","3685","11.3","1685","30.5","5593","24.9","5720"
"QN1205","St. Albans (QN1205)","10654","1627","5009","9.2","3781","40.4","9549","24.2","8276"
"QN1206","Hollis (QN1206)","4156","1634","1950","8.7","3073","49.6","4371","26.5","4177"
"QN1301","Glen Oaks-Floral Park-New Hyde Park (QN1301)","3740","2065","1805","7.7","4733","44.5","9727","50.6","7822"
"QN1302","Bellerose (QN1302)","4711","1952","2253","8.3","6000","48.7","7996","38.3","6667"
"QN1303","Queens Village (QN1303)","10144","1632","4954","8.8","10968","49.5","11731","28.7","10881"
"QN1304","Cambria Heights (QN1304)","3498","1651","1124","5.4","1119","40","5178","32.7","4406"
"QN1305","Laurelton (QN1305)","5166","1769","1313","4.9","1365","38.1","6344","32.5","4827"
"QN1306","Springfield Gardens (South)-Brookville (QN1306)","5116","2149","2350","10.1","1713","40.8","4285","25.7","3082"
"QN1307","Rosedale (QN1307)","5076","2121","2361","9","2359","42","5703","29.5","4511"
"QN1371","Montefiore Cemetery (QN1371)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN1401","Far Rockaway-Bayswater (QN1401)","19264","1488","11109","17.6","9125","33.8","10534","26.4","9630"
"QN1402","Rockaway Beach-Arverne-Edgemere (QN1402)","11773","1153","9863","23.2","5832","30.9","8072","28.2","5730"
"QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel (QN1403)","5288","1716","2284","9.2","1210","11.8","8488","45.8","5583"
"QN1491","Rockaway Community Park (QN1491)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN8081","LaGuardia Airport (QN8081)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN8191","Flushing Meadows-Corona Park (QN8191)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN8291","Forest Park (QN8291)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN8381","John F. Kennedy International Airport (QN8381)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN8491","Jamaica Bay (East) (QN8491)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"QN8492","Jacob Riis Park-Fort Tilden-Breezy Point Tip (QN8492)","0",NULL,"0",NULL,"0","26.7","4","26.7","11"
"SI0101","St. George-New Brighton (SI0101)","3856","1530","3648","19.5","2417","23.7","4467","33","2955"
"SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills (SI0102)","3653","1512","4276","25.9","2892","32.6","3209","27.5","2310"
"SI0103","Rosebank-Shore Acres-Park Hill (SI0103)","4555","1425","3257","13.8","4692","36.7","5170","29.5","3638"
"SI0104","West New Brighton-Silver Lake-Grymes Hill (SI0104)","8200","1652","3522","10","3253","20.6","10320","42","5236"
"SI0105","Westerleigh-Castleton Corners (SI0105)","7137","1805","1309","4","3465","20.3","8694","37.7","5060"
"SI0106","Port Richmond (SI0106)","5139","1671","4330","21.6","2553","27.6","3414","26.7","1976"
"SI0107","Mariner's Harbor-Arlington-Graniteville (SI0107)","7599","1514","5103","15.2","5056","29.3","6378","28.3","4378"
"SI0191","Snug Harbor (SI0191)","0","1374","0",NULL,"0",NULL,"4","9.5","19"
"SI0201","Grasmere-Arrochar-South Beach-Dongan Hills (SI0201)","7037","1333","3601","10.2","6980","36.1","8308","31.7","6727"
"SI0202","New Dorp-Midland Beach (SI0202)","6646","1688","2703","9.5","6226","34.3","5970","30.1","4576"
"SI0203","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights (SI0203)","8733","1309","3984","12.2","3425","25.3","9576","42.2","7588"
"SI0204","New Springville-Willowbrook-Bulls Head-Travis (SI0204)","8329","1760","4521","10.5","7057","31.4","10767","34.4","7882"
"SI0291","Freshkills Park (North) (SI0291)","0",NULL,"0",NULL,"0",NULL,"0",NULL,"0"
"SI0301","Oakwood-Richmondtown (SI0301)","3833","1605","1589","7.7","2321","17.3","4899","32.2","4398"
"SI0302","Great Kills-Eltingville (SI0302)","10952","1806","3777","6.7","5523","19.8","16266","40.1","10304"
"SI0303","Arden Heights-Rossville (SI0303)","6933","1656","1557","4.9","2426","17.7","7897","36","4896"
"SI0304","Annadale-Huguenot-Prince's Bay-Woodrow (SI0304)","10340","2062","2299","5.4","3079","16.3","12003","41.4","7125"
"SI0305","Tottenville-Charleston (SI0305)","3549","1385","1080","6.5","734","11.4","4231","36.4","2685"
